Genus	J03630_V1_V3	J03631_V1_V3	J03632_V1_V3	J03644_V1_V3	J03630_V1_V9	J03631_V1_V9	J03632_V1_V9	J03644_V1_V9
02d06	0.0	7.0	0.0	0.0				
Adlercreutzia	7.0	0.0	0.0	0.0				
Akkermansia	1.0	23.0	212.0	571.0	0.0	61.0	791.0	5383.0
Alistipes	2.0	282.0	153.0	61.0	0.0	751.0	231.0	174.0
Anaerorhabdus					0.0	0.0	0.0	4.0
Anaerostipes	0.0	3.0	4.0	11.0				
Bacteroides	4017.0	2333.0	1200.0	862.0	5944.0	6892.0	1911.0	1675.0
Blautia	66.0	93.0	72.0	44.0				
Catenibacterium	0.0	0.0	0.0	19.0	0.0	0.0	0.0	60.0
Cloacibacillus	0.0	0.0	0.0	7.0				
Clostridium	100.0	38.0	7.0	19.0	149.0	180.0	1.0	1.0
Collinsella	4.0	14.0	0.0	6.0				
Coprococcus	94.0	35.0	311.0	60.0	0.0	10.0	475.0	157.0
Desulfovibrio	0.0	0.0	0.0	8.0	0.0	0.0	0.0	13.0
Dialister	0.0	18.0	36.0	0.0	0.0	1068.0	290.0	0.0
Dorea	19.0	18.0	21.0	26.0				
Escherichia	5.0	1.0	76.0	0.0	10.0	0.0	96.0	0.0
Faecalibacterium	698.0	653.0	485.0	383.0	1863.0	3083.0	1747.0	1410.0
Lachnobacterium	6.0	8.0	2.0	1.0				
Lachnospira	26.0	71.0	74.0	23.0	6.0	76.0	11.0	16.0
Odoribacter	0.0	28.0	15.0	122.0	0.0	29.0	13.0	276.0
Oscillospira	59.0	42.0	43.0	231.0	29.0	27.0	60.0	675.0
Oxalobacter	0.0	0.0	2.0	6.0				
Parabacteroides	377.0	459.0	64.0	223.0	217.0	835.0	37.0	262.0
Paraprevotella	170.0	90.0	4.0	9.0	162.0	122.0	0.0	8.0
Phascolarctobacterium	73.0	0.0	27.0	48.0	350.0	0.0	35.0	202.0
Prevotella	0.0	0.0	666.0	1.0	0.0	0.0	3810.0	0.0
Roseburia	0.0	158.0	76.0	17.0	120.0	1088.0	198.0	85.0
Ruminococcus	37.0	52.0	402.0	187.0	5.0	53.0	316.0	439.0
SMB53	0.0	0.0	5.0	0.0				
Streptococcus					1.0	10.0	0.0	4.0
Subdoligranulum	38.0	127.0	107.0	152.0	30.0	338.0	143.0	440.0
Sutterella	178.0	98.0	4.0	5.0	789.0	652.0	1.0	7.0
cc_115	0.0	0.0	1.0	16.0	0.0	0.0	0.0	47.0
unclassified	460.0	794.0	1258.0	1111.0	46.0	592.0	4300.0	3242.0
