Genus	J03630_V1_V3	J03631_V1_V3	J03632_V1_V3	J03644_V1_V3	J03630_V1_V9	J03631_V1_V9	J03632_V1_V9	J03644_V1_V9
02d06	0.0	7.0	0.0	0.0				
Adlercreutzia	7.0	0.0	0.0	0.0				
Akkermansia	1.0	22.0	211.0	566.0	0.0	57.0	776.0	4710.0
Alistipes	2.0	274.0	149.0	49.0	0.0	474.0	176.0	67.0
Anaerostipes	0.0	3.0	3.0	11.0				
Bacteroides	3696.0	2212.0	1163.0	812.0	3560.0	4289.0	1320.0	1007.0
Blautia	53.0	84.0	47.0	37.0				
Catenibacterium	0.0	0.0	0.0	18.0	0.0	0.0	0.0	54.0
Cloacibacillus	0.0	0.0	0.0	7.0				
Clostridium	94.0	46.0	4.0	14.0	109.0	196.0	0.0	0.0
Collinsella	2.0	14.0	0.0	2.0				
Coprococcus	84.0	27.0	159.0	58.0	0.0	5.0	273.0	121.0
Desulfovibrio	0.0	0.0	0.0	8.0	0.0	0.0	0.0	12.0
Dialister	0.0	18.0	26.0	0.0	0.0	930.0	236.0	0.0
Dorea	12.0	12.0	5.0	16.0				
Escherichia	5.0	1.0	65.0	0.0	0.0	0.0	68.0	0.0
Faecalibacterium	659.0	601.0	396.0	329.0	1242.0	1269.0	613.0	665.0
Lachnobacterium	5.0	4.0	1.0	0.0				
Lachnospira	39.0	55.0	67.0	19.0	3.0	29.0	0.0	7.0
Odoribacter	0.0	27.0	13.0	97.0	0.0	28.0	12.0	205.0
Oscillospira	50.0	48.0	64.0	227.0	21.0	23.0	35.0	418.0
Oxalobacter	0.0	0.0	0.0	6.0				
Parabacteroides	371.0	436.0	28.0	161.0	113.0	625.0	1.0	111.0
Paraprevotella	142.0	84.0	3.0	7.0	107.0	87.0	0.0	0.0
Phascolarctobacterium	73.0	0.0	27.0	48.0	284.0	0.0	1.0	166.0
Prevotella	0.0	0.0	554.0	1.0	0.0	0.0	2739.0	0.0
Roseburia	0.0	139.0	69.0	16.0	77.0	577.0	97.0	58.0
Ruminococcus	32.0	53.0	392.0	186.0	4.0	35.0	252.0	336.0
SMB53	0.0	0.0	5.0	0.0				
Streptococcus					1.0	7.0	0.0	4.0
Subdoligranulum	4.0	53.0	30.0	134.0	3.0	35.0	19.0	231.0
Sutterella	172.0	89.0	2.0	2.0	643.0	570.0	0.0	6.0
cc_115	0.0	0.0	1.0	12.0	0.0	0.0	0.0	41.0
unclassified	420.0	804.0	1334.0	1011.0	49.0	503.0	3453.0	2547.0
