Genus	J03630ds_V1_V3	J03631ds_V1_V3	J03632ds_V1_V3	J03644ds_V1_V3	J03630ds_V1_V9	J03631ds_V1_V9	J03632ds_V1_V9	J03644ds_V1_V9
Akkermansia	00000000	120000000	0125410000	01029413343	0.0	0.0	101.0	687.0
Alistipes					0.0	51.0	22.0	5.0
Bacteroides	492453242691331218107096541644912502955969210326662147633554923442542144112135512443333121110000000000000000000000000000000	012200362370000000100102012005300290043000000000005000002000000000040000032023134327441913136583950147353534300000000000	020172000000000420000000000000000000000000800010012004212000010209000020000000000000002000000670000000000	018030000000003000040000100011101400000000000110000000000000500000000000001001010000000100000001811259385343	279.0	256.0	145.0	74.0
Catenibacterium	0	0	0	4	0.0	0.0	0.0	5.0
Clostridium	66533133343423144110000000000000000000000000000000	041001001004142005066442412456323353142143120000000	00010100000000000140000200000020000501200614333300	00000000000000000000000013000000001001100200100054	13.0	17.0	0.0	0.0
Collinsella	0	5	0	0				
Coprococcus					0.0	0.0	8.0	9.0
Cronobacter	0	0	5	0				
Desulfovibrio					0.0	0.0	0.0	4.0
Dialister					0.0	105.0	18.0	0.0
Escherichia					0.0	0.0	3.0	0.0
Faecalibacterium					104.0	67.0	9.0	14.0
Gemmiger	18044513161910121441154158134343100000000000000000000000000000000000000000000000000000000000000000nana	01302004207000000004002113441719615344141833171112125151534112119572410000000000000000000000000000000000000nana	120022300000002010005000700000000100001000000040020161094106203459101071165354843143610000000000nana	00000023000000020018000280000000000000000012000000024002020271020000900000012002519417271119111149nana				
Odoribacter					0.0	0.0	0.0	7.0
Oscillospira	250	220	000	0010	0.0	0.0	1.0	40.0
Parabacteroides	44168512219452330000000000000000000000	0017601020100105841569000000000000000	000000100000000000873630000000000	00100000000000000000000158941699793	0.0	57.0	0.0	4.0
Paraprevotella	546300	2115050	00000	00003	11.0	2.0	0.0	0.0
Phascolarctobacterium	29000	0000	0480	00513	44.0	0.0	0.0	12.0
Prevotella	0000000000000	0000000000000	61208383559136123333	1000000000000	0.0	0.0	138.0	0.0
Rikenella	1	84	0	2				
Roseburia					0.0	12.0	1.0	5.0
Ruminococcus	0	0	18	0	0.0	0.0	35.0	31.0
Subdoligranulum					0.0	0.0	0.0	7.0
Sutterella					77.0	27.0	0.0	0.0
Synergistes	0	0	0	3				
Syntrophococcus	128422234300000000	5300100073331000	0000000000012350	0000000000000003				
cc_115	0	0	0	3	0.0	0.0	0.0	3.0
unclassified	8222475161202301155916959216413314134736515534523735358433442333211100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0060000000060001000900000004420000020000001041010000102582121317448101144943521514141517463571444118632114181363483354415432362241244441000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000008000700002000000000000000000200300020034000000000602165000400000003000000020800000000003060400100000000016011140853731789317410742247362612544653631032262136101153343684108977913434251015343334430000000000000000000000000000000000000000000000000000000	000020000000000700010000200000000200000000010000000009000000020000220003000000030000000000000000000020010000050270000300000000170000000000000100000000210000000000000000002003010050000000001645371223447661029281161370338313341319133453935341071743617136106563443344543	4.0	34.0	298.0	306.0
