Amplicon	TotalEntropy	MeanEntropy	MedianEntropy
V6_V9	41.9040693299	0.0826510243193	0.0508067826377
V3_V5	49.4004740974	0.0896560328447	0.0654688250061
V1_V9	125.489359178	0.0857167753947	0.0589821875272
V4	21.5738860095	0.0852722767176	0.0617230010031
V1_V3	47.6867232209	0.0973198433081	0.0763977578301
V1_V2	31.4587095257	0.100186973012	0.0808985084902
