MWGS	Breezer_MGWS	Commencal_MGWS	IronHorse_MGWS	Scott_MGWS	V1V9	Scott_V1V9	IronHorse_V1V9	Commencal_V1V9	Breezer_V1V9	V1V3	Scott_V1V3	IronHorse_V1V3	Commencal_V1V3	Breezer_V1V3
Bacteroides massiliensis	0.01095	0.01586	0.003198	0.003183	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides nordii	0.001582	4.12e_05	0.0003697	0.0007483	Missing	0.0	0.0	0.0	0.0	OTU_28	0.0	0.0	0.0	6.0
Bacteroides oleiciplenus	0.003038	0.0001531	0.0008962	0.0007949	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides ovatus	0.004277	0.005784	0.01236	0.04956	Missing	0.0	0.0	0.0	0.0	OTU_22	4.0	0.0	4.0	0.0
Bacteroides ovatus	0.004277	0.005784	0.01236	0.04956	Missing	0.0	0.0	0.0	0.0	OTU_8	428.0	33.0	22.0	3.0
Bacteroides plebeius	0.0005257	0.0003238	0.001336	0.003051	Missing	0.0	0.0	0.0	0.0	OTU_24	0.0	0.0	13.0	0.0
Bacteroides pyogenes	6.07e_05	0.0001468	0.0001159	0.00027	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides salanitronis	0.0008062	0.0002062	0.0009217	0.002081	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides salyersiae	0.0007451	0.007374	0.0008323	0.001005	OTU_16	0.0	0.0	19.0	1.0	OTU_17	0.0	0.0	57.0	0.0
Bacteroides sp. 1_1_14	0.002717	0.0004843	0.002123	0.004548	Missing	0.0	0.0	0.0	0.0	OTU_16	30.0	10.0	5.0	28.0
Bacteroides sp. 1_1_30	0.0005185	0.0005707	0.007966	0.004558	Missing	0.0	0.0	0.0	0.0	OTU_18	1.0	20.0	0.0	0.0
Bacteroides sp. 1_1_6	0.002609	0.001275	0.001362	0.00508	Missing	0.0	0.0	0.0	0.0	OTU_16	30.0	10.0	5.0	28.0
Bacteroides sp. 2_1_16	0.0003369	0.0002651	0.002142	0.004218	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides sp. 2_1_22	0.0003141	0.0002017	0.002311	0.001868	Missing	0.0	0.0	0.0	0.0	OTU_10	0.0	116.0	0.0	1.0
Bacteroides sp. 2_1_33B	0.00403	0.0006779	0.001438	0.001771	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides sp. 2_1_56FAA	0.0002227	0.0002616	0.001492	0.001636	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides sp. 2_1_7	0.003376	0.001076	0.001899	0.003714	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides sp. 2_2_4	0.000454	0.0006828	0.004159	0.009284	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides sp. 3_1_19	0.003102	0.001369	0.002184	0.0037	Missing	0.0	0.0	0.0	0.0	Missing	0.0	0.0	0.0	0.0
Bacteroides sp. 3_1_23	0.0003453	0.0005318	0.002181	0.01786	OTU_15	219.0	19.0	5.0	1.0	Missing	0.0	0.0	0.0	0.0
Bacteroides sp. 3_1_33FAA	0.0006982	0.00446	0.00119	0.01	Missing	0.0	0.0	0.0	0.0	OTU_1	584.0	0.0	341.0	13.0
Bacteroides sp. 3_1_40A	0.004284	0.0006122	0.01709	0.02611	Missing	0.0	0.0	0.0	0.0	OTU_14	0.0	146.0	0.0	4.0
